"Address","lon","lat","nr_5km","dist_1","area_voronoi","eventDate"
"745 Main Road, Edgeworth NSW 2285",151.6212363,-32.9236072,15,179.484548190835,5181134.20036244,"2016-6-1"
"40 Richardson Rd, Raymond Terrace NSW 2324",151.7628779,-32.7559273,5,1398.81485080666,107881106.431384,"2016-6-1"
"90-94 Queen Street (Cnr Broughton Street), Campbelltown NSW 2560",150.8173509,-34.0636095,22,398.087798356751,1289513.2271117,"2016-6-1"
"5885 Tweed ValleyWay, Mooball NSW 2483",153.4916218,-28.4418108,2,1607.81479019174,96531969.8035234,"2016-6-1"
"26 Summerland Way, Kyogle NSW 2474",153.0038475,-28.6181058,2,3928.3829851284,412183917.884601,"2016-6-1"
"352-360 Clarinda St Cnr Bushman St, Parkes NSW 2870",148.1737191,-33.133229,4,149.428019820615,473268674.881271,"2016-6-1"
"68 Harold St, Macquarie Fields NSW 2564",150.8934369,-33.9855597,17,53.0390196910406,15438161.8167796,"2016-6-1"
"636-644 Woodville Rd Cnr Orchardlei, Old Guildford NSW 2161",150.9881451,-33.8665036,68,56.189951679977,599925.338610888,"2016-6-1"
"50 Bells Line Of Rd Cnr Terrace Rd, North Richmond NSW 2754",150.7199945,-33.5799748,6,231.251778767024,5939169.70503473,"2016-6-1"
"55 King St, Warners Bay NSW 2282",151.6475783,-32.9742143,25,261.609393240323,NA,"2016-6-1"
"19-25 Merimbula Drive, Merimbula NSW 2548",149.9089176,-36.8875785,3,2663.5340954977,34820579.0052624,"2016-6-1"
"81 Pacific Hwy, Charlestown NSW 2290",151.6955192,-32.9671135,25,93.0348787584571,1463881.6278373,"2016-6-1"
"98 March St Cnr East Market St, Richmond NSW 2753",150.7515394,-33.599351,7,3170.4811305261,19653150.9348559,"2016-6-1"
"5-7 Northwood Rd, Longueville NSW 2066",151.1724645,-33.8242994,35,24.8747156614676,519201.583642289,"2016-6-1"
"572 Pacific Hwy, Chatswood NSW 2067",151.178876,-33.8037004,32,768.321796638631,1579585.2703817,"2016-6-1"
"Dean St Cnr Creek St, Albury NSW 2640",146.9149201,-36.0806519,12,755.957289300826,39876643.2244118,"2016-6-1"
"354 Corner Flushcombe Road & Myrtle Street, Blacktown NSW 2148",150.9049365,-33.7954171,36,113.394793760866,1400889.3209873,"2016-6-1"
"115 Sacville St, Fairfield NSW 2165",150.9452203,-33.8727231,53,63.7718140381872,456400.659245491,"2016-6-1"
"Stockland Drive (Stockland Shopping Centre), Glendale NSW 2285",151.6444948,-32.9336523,20,966.023244122106,2288208.13708183,"2016-6-1"
"217-219 Seven Hills Road, Baulkham Hills NSW 2153",150.963514,-33.7555124,31,1179.89645427805,3242697.88020685,"2016-6-1"
"180 Sydney Road, Kelso NSW 2795",149.6194869,-33.4189839,13,1097.92472125397,44955209.8898852,"2016-6-1"
"76 Rodd Rd., Canowindra NSW 2804",148.6677098,-33.5613445,2,196.368434411071,343442868.188096,"2016-6-1"
"1509-1511 Pittwater Rd, Narrabeen NSW 2101",151.2969397,-33.704651,10,366.008133230147,7672656.82562828,"2016-6-1"
"516 Punchbowl Rd Cnr Wangee Rd, Lakemba NSW 2195",151.073278,-33.9112209,60,498.821397136436,621761.402241945,"2016-6-1"
"144 Parramatta Rd Cnr Bold Street, Granville NSW 2142",151.011088,-33.830508,54,637.612881894208,1506340.44679123,"2016-6-1"
"131 Pennant Hills Rd Cnr Bettington, Carlingford NSW 2118",151.0278917,-33.787648,32,1397.29940412932,3372052.00150566,"2016-6-1"
"Narellan Rd Cnr Maxwell Pl, Narellan NSW 2567",150.7427511,-34.0400246,11,679.928781677989,3527822.25715995,"2016-6-1"
"406 Pacific Hwy Cnr Floraville Rd, Belmont North NSW 2280",151.6623539,-33.0247783,12,282.840919794964,960001.856899261,"2016-6-1"
"96-98 Kennedy Dr Cnr Barrett St, Tweed Heads West NSW 2485",153.5230014,-28.1871503,8,2050.8900337744,37603803.0862176,"2016-6-1"
"216 Newbridge Rd, Moorebank NSW 2170",150.955237,-33.9292756,36,92.039902768949,1627222.71066427,"2016-6-1"
"228 Comur St, Yass NSW 2582",148.9138907,-34.8445805,2,477.436542453858,55492428.1353869,"2016-6-1"
"272-278 Woodville Road, Guildford NSW 2161",150.9968792,-33.8481613,58,285.199713297961,468201.942966819,"2016-6-1"
"348 Blaxcell Street, Granville NSW 2142",151.0071292,-33.857166,62,734.690783550629,1333931.08239523,"2016-6-1"
"37 Woodhouse Dr Cnr Wickfield St, Ambarvale NSW 2560",150.8019511,-34.0844365,14,778.554719345957,2023049.84840798,"2016-6-1"
"114 Taren Point Rd, Taren Point NSW 2229",151.1219291,-34.0206476,30,46.6748476047781,777359.463022709,"2016-6-1"
"414-416 Princes Hwy, Sylvania Heights NSW 2224",151.0894101,-34.0236599,24,737.994159259959,2863383.21200174,"2016-6-1"
"169-173 Malabar Rd, Coogee South NSW 2034",151.2574183,-33.9323506,29,1477.92096136583,NA,"2016-6-1"
"451 Nth Liverpool Rd, Bonnyrigg NSW 2177",150.857951,-33.8942831,24,275.052105583915,4778264.20517623,"2016-6-1"
"334-336 PARRAMATTA Road, Homebush NSW 2140",151.0681389,-33.8581667,39,859.946656644673,2904965.32733548,"2016-6-1"
"17 Forsyth Street, Wagga Wagga NSW 2650",147.3740649,-35.1142006,20,898.461581888393,2655169.96803772,"2016-6-1"
"35 Woodville Road (cnr Alpha), Chester Hill NSW 2162",150.9887218,-33.8666623,69,56.189951679977,1532850.80129716,"2016-6-1"
"150 Woodville Rd Cnr Merrylands Rd, Merrylands NSW 2160",150.9998892,-33.8384929,49,787.789281572699,816425.665267974,"2016-6-1"
"51-55 River Street, Maclean NSW 2463",153.2054879,-29.4460937,3,550.951100620179,198891865.329095,"2016-6-1"
"477-481 Port Hacking Rd, Lilli Pilli NSW 2229",151.1215625,-34.0524306,18,1298.316633921,NA,"2016-6-1"
