"Address","Address_geo","lon","lat"
"5885 Tweed ValleyWay, Mooball NSW 2483","5885 Tweed ValleyWay, Mooball NSW 2483 Australia",153.4916218,-28.4418108
"26 Summerland Way, Kyogle NSW 2474","26 Summerland Way, Kyogle NSW 2474 Australia",153.0038475,-28.6181058
"352-360 Clarinda St Cnr Bushman St, Parkes NSW 2870","352-360 Clarinda St  Parkes NSW 2870 Australia",148.1737191,-33.133229
"68 Harold St, Macquarie Fields NSW 2564","68 Harold St, Macquarie Fields NSW 2564 Australia",150.8934369,-33.9855597
"636-644 Woodville Rd Cnr Orchardlei, Old Guildford NSW 2161","636-644 Woodville Rd  Old Guildford NSW 2161 Australia",150.9881451,-33.8665036
"50 Bells Line Of Rd Cnr Terrace Rd, North Richmond NSW 2754","50 Bells Line Of Rd  North Richmond NSW 2754 Australia",150.7199945,-33.5799748
"55 King St, Warners Bay NSW 2282","55 King St, Warners Bay NSW 2282 Australia",151.6475783,-32.9742143
"19-25 Merimbula Drive, Merimbula NSW 2548","19-25 Merimbula Drive, Merimbula NSW 2548 Australia",149.9089176,-36.8875785
"81 Pacific Hwy, Charlestown NSW 2290","81 Pacific Hwy, Charlestown NSW 2290 Australia",151.6955192,-32.9671135
"98 March St Cnr East Market St, Richmond NSW 2753","98 March St  Richmond NSW 2753 Australia",150.7515394,-33.599351
"5-7 Northwood Rd, Longueville NSW 2066","5-7 Northwood Rd, Longueville NSW 2066 Australia",151.1724645,-33.8242994
"572 Pacific Hwy, Chatswood NSW 2067","572 Pacific Hwy, Chatswood NSW 2067 Australia",151.178876,-33.8037004
"Dean St Cnr Creek St, Albury NSW 2640","Dean St  Albury NSW 2640 Australia",146.9149201,-36.0806519
"354 Corner Flushcombe Road & Myrtle Street, Blacktown NSW 2148","354 Corner Flushcombe Road & Myrtle Street, Blacktown NSW 2148 Australia",150.9049365,-33.7954171
"115 Sacville St, Fairfield NSW 2165","115 Sacville St, Fairfield NSW 2165 Australia",150.9452203,-33.8727231
"Stockland Drive (Stockland Shopping Centre), Glendale NSW 2285","Stockland Drive , Glendale NSW 2285 Australia",151.6444948,-32.9336523
"217-219 Seven Hills Road, Baulkham Hills NSW 2153","217-219 Seven Hills Road, Baulkham Hills NSW 2153 Australia",150.963514,-33.7555124
"180 Sydney Road, Kelso NSW 2795","180 Sydney Road, Kelso NSW 2795 Australia",149.6194869,-33.4189839
"76 Rodd Rd., Canowindra NSW 2804","76 Rodd Rd., Canowindra NSW 2804 Australia",148.6677098,-33.5613445
"1509-1511 Pittwater Rd, Narrabeen NSW 2101","1509-1511 Pittwater Rd, Narrabeen NSW 2101 Australia",151.2969397,-33.704651
"516 Punchbowl Rd Cnr Wangee Rd, Lakemba NSW 2195","516 Punchbowl Rd  Lakemba NSW 2195 Australia",151.073278,-33.9112209
"144 Parramatta Rd Cnr Bold Street, Granville NSW 2142","144 Parramatta Rd  Granville NSW 2142 Australia",151.011088,-33.830508
"131 Pennant Hills Rd Cnr Bettington, Carlingford NSW 2118","131 Pennant Hills Rd  Carlingford NSW 2118 Australia",151.0278917,-33.787648
"Narellan Rd Cnr Maxwell Pl, Narellan NSW 2567","Narellan Rd  Narellan NSW 2567 Australia",150.7427511,-34.0400246
"406 Pacific Hwy Cnr Floraville Rd, Belmont North NSW 2280","406 Pacific Hwy  Belmont North NSW 2280 Australia",151.6623539,-33.0247783
"96-98 Kennedy Dr Cnr Barrett St, Tweed Heads West NSW 2485","96-98 Kennedy Dr  Tweed Heads West NSW 2485 Australia",153.5230014,-28.1871503
"216 Newbridge Rd, Moorebank NSW 2170","216 Newbridge Rd, Moorebank NSW 2170 Australia",150.955237,-33.9292756
"228 Comur St, Yass NSW 2582","228 Comur St, Yass NSW 2582 Australia",148.9138907,-34.8445805
"272-278 Woodville Road, Guildford NSW 2161","272-278 Woodville Road, Guildford NSW 2161 Australia",150.9968792,-33.8481613
"348 Blaxcell Street, Granville NSW 2142","348 Blaxcell Street, Granville NSW 2142 Australia",151.0071292,-33.857166
"37 Woodhouse Dr Cnr Wickfield St, Ambarvale NSW 2560","37 Woodhouse Dr  Ambarvale NSW 2560 Australia",150.8019511,-34.0844365
"114 Taren Point Rd, Taren Point NSW 2229","114 Taren Point Rd, Taren Point NSW 2229 Australia",151.1219291,-34.0206476
"414-416 Princes Hwy, Sylvania Heights NSW 2224","414-416 Princes Hwy, Sylvania Heights NSW 2224 Australia",151.0894101,-34.0236599
"169-173 Malabar Rd, Coogee South NSW 2034","169-173 Malabar Rd, Coogee South NSW 2034 Australia",151.2574183,-33.9323506
"451 Nth Liverpool Rd, Bonnyrigg NSW 2177","451 Nth Liverpool Rd, Bonnyrigg NSW 2177 Australia",150.857951,-33.8942831
"334-336 PARRAMATTA Road, Homebush NSW 2140","334-336 PARRAMATTA Road, Homebush NSW 2140 Australia",151.0681389,-33.8581667
"17 Forsyth Street, Wagga Wagga NSW 2650","17 Forsyth Street, Wagga Wagga NSW 2650 Australia",147.3740649,-35.1142006
"35 Woodville Road (cnr Alpha), Chester Hill NSW 2162","35 Woodville Road , Chester Hill NSW 2162 Australia",150.9887218,-33.8666623
"150 Woodville Rd Cnr Merrylands Rd, Merrylands NSW 2160","150 Woodville Rd  Merrylands NSW 2160 Australia",150.9998892,-33.8384929
"51-55 River Street, Maclean NSW 2463","51-55 River Street, Maclean NSW 2463 Australia",153.2054879,-29.4460937
"477-481 Port Hacking Rd, Lilli Pilli NSW 2229","477-481 Port Hacking Rd, Lilli Pilli NSW 2229 Australia",151.1215625,-34.0524306
"542 Princes Highway, Kirrawee NSW 2232","542 Princes Highway, Kirrawee NSW 2232 Australia",151.0760722,-34.0322173
"529-531 Princes Highway & Bath Road, Kirrawee NSW 2232","529-531 Princes Highway & Bath Road, Kirrawee NSW 2232 Australia",145.31361,-38.027666
"397 Main Road (Corner Lowry Street), Cardiff NSW 2285","397 Main Road , Cardiff NSW 2285 Australia",151.6562059,-32.9339267
"100 Woolooware Rd, Woolooware NSW 2230","100 Woolooware Rd, Woolooware NSW 2230 Australia",151.1408431,-34.052747
"200-202 Pennant Hills Rd, Thornleigh NSW 2120","200-202 Pennant Hills Rd, Thornleigh NSW 2120 Australia",151.0834619,-33.7278414
"358 Hoxton Park Rd, Prestons NSW 2170","358 Hoxton Park Rd, Prestons NSW 2170 Australia",150.8817251,-33.9282285
"236-238 Condamine St, Manly Vale NSW 2093","236-238 Condamine St, Manly Vale NSW 2093 Australia",151.2673818,-33.785027
"532 Old Northern Road, Dural NSW 2158","532 Old Northern Road, Dural NSW 2158 Australia",151.0201585,-33.6934905
"159 Imlay St, Eden NSW 2551","159 Imlay St, Eden NSW 2551 Australia",149.9044021,-37.063241
"316 Camden Valley Way, Narellan NSW 2567","316 Camden Valley Way, Narellan NSW 2567 Australia",150.7354956,-34.0410694
"110 Lane Cove Rd, Ryde NSW 2112","110 Lane Cove Rd, Ryde NSW 2112 Australia",151.1137633,-33.8014733
"Cnr Lennox & East Market Streets, Richmond NSW 2753","Cnr Lennox & East Market Streets, Richmond NSW 2753 Australia",150.659035,-33.752755
"157 Narellan Rd (Cnr Smeaton Grange Rd), Mount Annan NSW 2567","157 Narellan Rd , Mount Annan NSW 2567 Australia",150.7602302,-34.0467975
"337 West Street (Cnr Ocean Beach Road), Umina NSW 2257","337 West Street , Umina NSW 2257 Australia",151.3170285,-33.5210014
"646 Hume Hwy, Casula NSW 2170","646 Hume Hwy, Casula NSW 2170 Australia",150.8934788,-33.9564132
"269 Stewart Street, Bathurst NSW 2795","269 Stewart Street, Bathurst NSW 2795 Australia",149.5681035,-33.4181477
"37 Crystal St., Petersham NSW 2049","37 Crystal St., Petersham NSW 2049 Australia",151.1587588,-33.8905087
"155 The Entrance Rd, Erina NSW 2250","155 The Entrance Rd, Erina NSW 2250 Australia",151.3793547,-33.4382424
