"Address","lat","lon","remoteness","dist_to_coast"
"24 Glen Innes Road, Inverell NSW 2360",-29.7795928,151.119329,3.04,2.043624
"16322 Newell Highway, Narrandera NSW 2700",-34.7627454,146.5403539,2.46,3.418669
"1465-1467 Elizabeth Drive, Kemps Creek NSW 2178",-33.8792121,150.7889329,0.46644244,0.3640055
"595 Ocean Drive, North Haven NSW 2443",-31.6404964,152.8154951,1.646786,0.01414214
"69 Hoxton Park Road, Liverpool NSW 2170",-33.9270784,150.9107378,0,0.224722
"571 Beryl Street, Broken Hill NSW 2880",-31.9498829,141.4752738,3.23,3.620842
"43 Urben st, Urbenville NSW 2475",-28.4724071,152.5485749,3.7781088,0.9848858
"New Lake Entrance Road (Shellharbour City Centre), Shellharbour NSW 2529",-34.5637313,150.8309923,0.11,0.04
"130 Albury Street, Holbrook NSW 2644",-35.7210182,147.3163084,1.9572275,2.258008
"Cnr Hume Hwy & Pine Avenue, Casula NSW 2170",-34.8288721,149.0481264,2.113955,1.454166
"572 Pacific Hwy, Chatswood NSW 2067",-33.8037004,151.178876,0,0.09055385
"Kent St Cnr Kathleen St, Tamworth NSW 2340",-31.1039919,150.913092,1.6637251,1.87171
"57 High Street, Wauchope NSW 2446",-31.457223,152.7305577,1.79,0.15
"Darlington Drive Cnr Leisure Drive, Banora Point West NSW 2486",-28.219676,153.5403478,0,0.02
"Lang Street and Hunter ExpressWay, Kurri Kurri NSW 2327",-32.820643,151.476152,0.17,0.2952965
"104 Rouse St, Tenterfield NSW 2372",-29.0615145,152.0173388,3.47,1.348073
"273 Charlestown Road, Charlestown NSW 2290",-32.9579672,151.6898557,0,0.05099019
"109 Cessnock Road, Weston NSW 2326",-32.8142223,151.4561465,0.17,0.3176476
"28 Morgan St, Uranquinty NSW 2652",-35.1936318,147.245736,1.5085977,2.785678
"41 - 43 Third Avenue, Blacktown NSW 2148",-33.7649347,150.9079574,0,0.3140064
"18/19 Monaro Street, Wyndham NSW 2550",-36.9292779,149.6475,5.74378,0.26
"81-87 Bells Line of Road, North Richmond NSW 2754",-33.5788158,150.7179239,0.3265031,0.54
"163 Salamander Way, Salamander Bay NSW 2317",-32.7375143,152.106904,0.63,0.03605551
"10 Milperra Road, Revesby NSW 2212",-33.9383715,151.0171926,0,0.130384
"Cnr Nelson Bay Road And Lavis Lane, WILLIAMTOWN NSW 2043",-32.8178734,151.8438961,0.48640144,0.03605551
"29 Lord St, Port Macquarie NSW 2444",-31.4332543,152.9170021,NA,0.01
"637 Forest Road, Peakhurst East NSW 2210",-33.9583766,151.0687546,0,0.07810249
"1 Horatio Street, Mudgee NSW 2850",-32.6007195,149.5963718,2.1470497,1.917603
"77 Forbes St, Trundle NSW 2875",-32.9219238,147.7101905,4.93,3.498028
"33 Ocean Parade, Coffs Harbour NSW 2450",-30.2905092,153.137839,1.89,0.01
"439 Princes Highway (Corner Massey Street), Carlton NSW 2218",-33.9805275,151.1191584,0,0.02236068
"504 Pacific Hwy (Cnr Maude St), Belmont NSW 2280",-33.0323235,151.6608948,0,0.01414214
"774 Parramatta Road, Lewisham NSW 2049",-33.8903112,151.1479693,0,0.06082762
"Balo St & Gwydir St, Moree NSW 2400",-29.4608695,149.8416445,4.23,3.346072
"73-87 Oxide St Cnr Beryl St, Broken Hill NSW 2880",-31.9553279,141.465852,3.23,3.608227
"198 Harbord Rd (Cnr Winbourne Rd), Brookvale NSW 2100",-33.7633387,151.2794631,0,0.02
"1497 Pittwater Road & Gondola Street, Narrabeen NSW 2101",-33.7079296,151.2964925,0,0.01
"12B Oatley Parade, Oatley NSW 2223",-33.9823281,151.0791437,0,0.05385165
"57 Dora St, Morisset NSW 2264",-33.1073352,151.4900618,0.31,0.1442221
"16 Mitchell Hwy, Wellington NSW 2820",-32.5409877,148.9428388,2.6220617,2.525173
"2 Cary Grove (Cnr Ben Lomond Drive), Minto NSW 2566",-34.0261722,150.8367608,0,0.2545584
"127 Victoria Road, Rozelle NSW 2039",-33.8621049,151.1676471,0,0.09
"131 Pennant Hills Rd Cnr Bettington, Carlingford NSW 2118",-33.787648,151.0278917,0,0.2140093
"4949 New England Hwy, McDougalls Hill NSW 2330",-32.5453616,151.1491801,0.75849503,0.7242237
"15 Glastonbury Ave, UNANDERRA NSW 2526",-34.4587464,150.8566699,0.11,0.05
"516-526 Great Western Hwy, ST MARYS NSW 2760",-33.7703269,150.766136,0,0.4272002
"5-11 Gateway Bvd, MORISSET NSW 2264",-33.1165627,151.4711726,0.3393367,0.1486607
"36 Henderson Road, Alexandria NSW 2015",-33.8974472,151.1972615,0,0.06
"2-24 Rawson Place, HAYMARKET NSW 2000",-33.8811891,151.2056351,NA,0.06708204
