POA,resident_population,seifa_score
2873,636,952.7479133
2874,377,950.7693405
2875,1043,950.8145034
2876,305,920.3960171
2877,4122,911.9438657
2878,199,799.1327546
2879,859,898.557246
2880,19223,892.5776549
2898,359,1003.793553
800,4564,1072.460907
810,29725,1037.207958
812,19334,1019.460119
820,19057,1076.107942
822,24120,702.3108206
828,1699,971.5995273
829,1138,947.7975589
830,17990,995.6138323
832,9671,1075.985989
835,5194,1054.294943
836,7092,1041.081243
837,527,986.8700547
838,735,994.0606639
840,555,846.9028435
841,693,949.4492005
845,338,860.3054692
846,235,875.2349077
847,381,828.5042372
850,7582,940.9408574
852,7968,688.7542587
853,743,1094.060261
854,919,690.3861188
860,3060,866.3121773
862,696,791.2770197
870,25181,1010.338375
872,12344,672.6052508
880,5951,915.6306779
885,980,1057.992328
886,1126,987.3931926
6798,2063,983.5928114
6799,554,862.8120308
4000,14335,1067.533181
4005,11333,1075.037961
4006,14730,1084.388759
4007,10444,1097.924142
4008,351,905.93123
4010,1986,1053.062565
4011,14404,1084.556981
4012,19811,1044.290423
4013,4301,1020.259608
4014,10788,1026.267217
4017,35803,1016.657191
4018,8917,1008.717004
4019,19013,933.5988299
4020,20381,980.036739
4021,9914,926.258117
4022,6688,966.7730035
4025,298,952.3008494
4030,15129,1068.793538
4031,12621,1057.832255
4032,14298,1005.798125
4034,41841,1021.148686
4035,23310,1108.456999
4036,6944,1027.5943
4037,7997,1133.696527
4051,25848,1081.429222
4053,41808,1052.032902
4054,12949,1033.838719
4055,19568,1095.719174
4059,11558,1074.216444
4060,12927,1119.235252
4061,15923,1118.184289
4064,9988,1115.4153
4065,9256,1132.22183
4066,16147,1106.62958
4067,9138,1089.353583
4068,21900,1099.959761
4069,33086,1146.622637
4070,10530,1129.240921
4073,9335,1119.635282
4074,23275,1096.931597
4075,21232,1076.910187
4076,6801,924.3698358
4077,25177,847.6998623
4078,22988,1040.429694
4101,19309,1048.958967
4102,6266,1013.416435
4103,13228,1043.648708
4104,5542,1074.524721
4105,12829,1033.626088
4106,1261,948.4949731
4107,6103,1016.006654
4108,4732,965.7551941
4109,35445,1028.802031
4110,9581,937.3731291
4111,1395,1042.824689
4112,7769,1060.771367
4113,27426,1045.166453
4114,33210,815.3330719
4115,17824,1061.915038
4116,23309,1077.903267
4117,1211,1047.567081
4118,29068,985.0613573
4119,5324,1051.709827
4120,8560,1047.791571
4121,23777,1071.427835
4122,41939,1037.47028
4123,16086,1037.550508
4124,18396,1006.691295
4125,6899,1011.237919
4127,21711,1004.641877
4128,15896,1060.746614
4129,6130,1004.457615
4130,8036,1080.096894
4131,9296,921.6584714
4132,22512,901.3240979
4133,14716,953.6875543
4151,14944,1079.61401
4152,42502,1080.539143
4153,4594,1091.791196
4154,9231,1142.072113
4155,1080,1127.355302
4156,2975,1138.163067
4157,18662,1019.81172
4158,3546,987.6377825
4159,13794,1037.868504
4160,17425,1080.10355
4161,16736,1007.463261
4163,14413,1024.293701
4164,12804,1084.822594
4165,33244,1049.635175
4169,12604,1069.798552
4170,21948,1080.065915
4171,14536,1120.062485
4172,3964,1056.384872
4173,8529,1028.522874
4174,2599,997.7995733
4178,23978,992.4590861
4179,18149,1044.306131
4183,2020,917.8243951
4184,6337,838.1988091
4205,4598,917.9825664
4207,47471,952.4148581
4208,15776,1053.621644
4209,34164,1039.657308
4210,16273,1041.121584
4211,56323,1008.966174
4212,24473,1064.904918
4213,27726,1043.138284
4214,35797,1024.157064
4215,44738,943.8898466
4216,33766,997.8602621
4217,35328,1020.331044
4218,29668,1026.813986
4219,538,886.4068488
4220,28855,1013.411411
4221,25612,994.5693636
4223,14076,1005.318018
4224,5279,981.0117974
4225,6859,932.6566996
4226,29277,1040.436018
4227,18387,1017.106647
4228,5095,1068.713834
4229,1688,1029.568381
4230,1582,1044.091984
4270,3460,1038.09689
4271,2675,1009.983721
4272,4341,1038.33141
4275,2979,1021.723985
4280,14889,1018.973701
4285,18459,969.4887451
4287,656,919.5492735
4300,45109,986.1036698
4301,23181,934.6298375
4303,4156,788.1772578
4304,15550,909.7306639
4305,57593,940.5312012
4306,31405,1033.80621
4307,1139,977.4154636
4309,2351,967.0517699
4310,6013,962.8794355
4311,9287,911.936889
4312,3027,925.1376886
4313,1763,894.7137076
4340,5858,965.531522
4341,13079,923.8718853
4342,2026,920.3325185
4343,10492,926.1745656
4344,2387,955.5815319
4346,570,953.1720532
4347,1109,953.760165
4350,102259,975.2668199
4352,24802,1048.524276
4353,350,990.4885444
4354,1029,927.2195803
4355,2766,917.0180295
4356,4903,969.290004
4357,2455,929.4583815
4358,1964,1002.648722
4359,1135,994.1270614
4360,482,943.7560638
4361,2251,936.8269938
4362,2708,949.5203983
4363,523,983.7705539
4364,304,1008.683835
4365,414,876.4465466
4370,17225,927.43725
4371,725,942.6739683
4372,201,973.9459333
4373,1178,890.1084527
4374,345,990.7513921
4375,156,951.5907426
4376,334,894.6490223
4377,486,933.7675367
4378,467,951.2617751
4380,7690,925.5442926
4381,450,947.8566151
4382,464,984.5672807
4383,512,834.8387062
